地名,センター,不燃ごみ,不燃ごみ,古紙類・生きびん,空き缶・ﾍﾟｯﾄﾎﾞﾄﾙ・ｶﾞﾗｽびん
グランド・ブルー,9,火 金,木2 木4,水2 水4,木1 木3
グランモア桜川,6,火 金,月2 月4,木1 木3,月1 月3
グランモア三好,9,火 金,木2 木4,水2 水4,木1 木3
桑原,3,火 金,水1 水3,月1 月3,水2 水4
京王台団地,6,火 金,月2 月4,木1 木3,月1 月3
けやき,5,月 木,金1 金3,火1 火3,金2 金4
県営唐橋,2,月 木,火1 火3,水1 水3,火2 火4
県営平和台,8,月 木,水2 水4,金2 金4,水1 水3
県立保健大学教員公舎,2,月 木,火1 火3,水1 水3,火2 火4
合子沢,4,火 金,木1 木3,月2 月4,木2 木4
甲田町,2,月 木,火1 火3,水1 水3,火2 火4
幸畑,9,火 金,木2 木4,水2 水4,木1 木3
幸畑阿部野,9,火 金,木2 木4,水2 水4,木1 木3
幸畑第四,9,火 金,木2 木4,水2 水4,木1 木3
幸畑団地西,9,火 金,木2 木4,水2 水4,木1 木3
幸畑ひばりケ丘,9,火 金,木2 木4,水2 水4,木1 木3
幸畑若葉,9,火 金,木2 木4,水2 水4,木1 木3
コスモス,10,月 木,金2 金4,火2 火4,金1 金3
小館,4,火 金,木1 木3,月2 月4,木2 木4
小橋,3,火 金,水1 水3,月1 月3,水2 水4
駒込,10,月 木,金2 金4,火2 火4,金1 金3
米町,11,月 木,水2 水4,金2 金4,水1 水3
小柳,2,月 木,火1 火3,水1 水3,火2 火4
小柳第三団地,5,月 木,金1 金3,火1 火3,金2 金4
雇用促進相野宿舎,10,月 木,金2 金4,火2 火4,金1 金3
雇用促進芦谷宿舎,4,火 金,木1 木3,月2 月4,木2 木4
雇用促進泉野宿舎,3,火 金,水1 水3,月1 月3,水2 水4
雇用促進野木宿舎,4,火 金,木1 木3,月2 月4,木2 木4
雇用促進やはぎ宿舎,4,火 金,木1 木3,月2 月4,木2 木4
コンフォート桂木,9,火 金,木2 木4,水2 水4,木1 木3
サーパス松原管理組合,1,火 金,月1 月3,木2 木4,月2 月4
栄町,7,月 木,火2 火4,金1 金3,火1 火3
さくら,9,火 金,木2 木4,水2 水4,木1 木3
桜川,6,火 金,月2 月4,木1 木3,月1 月3
桜川団地,6,火 金,月2 月4,木1 木3,月1 月3
桜川南,6,火 金,月2 月4,木1 木3,月1 月3
桜木,5,月 木,金1 金3,火1 火3,金2 金4
桜町,11,月 木,水2 水4,金2 金4,水1 水3
里見,9,火 金,木2 木4,水2 水4,木1 木3
沢山,2,月 木,火1 火3,水1 水3,火2 火4
サンデュエル青森県庁前,11,月 木,水2 水4,金2 金4,水1 水3
サンデュエル青森桜川,6,火 金,月2 月4,木1 木3,月1 月3
三内第一,6,火 金,月2 月4,木1 木3,月1 月3
三内第三,6,火 金,月2 月4,木1 木3,月1 月3
三内第二,6,火 金,月2 月4,木1 木3,月1 月3
三内丸山,4,火 金,木1 木3,月2 月4,木2 木4
サンヒルズ,9,火 金,木2 木4,水2 水4,木1 木3
三本木,3,火 金,水1 水3,月1 月3,水2 水4
サンライズ勝田公園,10,月 木,金2 金4,火2 火4,金1 金3
三和,6,火 金,月2 月4,木1 木3,月1 月3
ＪＲ青森寮,7,月 木,火2 火4,金1 金3,火1 火3
市営住宅三内団地,6,火 金,月2 月4,木1 木3,月1 月3
市営住宅戸山団地,2,月 木,火1 火3,水1 水3,火2 火4
市営住宅ベイタウン沖館,10,月 木,金2 金4,火2 火4,金1 金3
塩町,1,火 金,月1 月3,木2 木4,月2 月4
蜆貝,1,火 金,月1 月3,木2 木4,月2 月4
志田,5,月 木,金1 金3,火1 火3,金2 金4
篠田,7,月 木,火2 火4,金1 金3,火1 火3
清水,3,火 金,水1 水3,月1 月3,水2 水4
下新町,11,月 木,水2 水4,金2 金4,水1 水3
下湯平温泉,12,金,木3,水3,木2
シャーメゾン鳴滝,5,月 木,金1 金3,火1 火3,金2 金4
シャーメゾンファイン,5,月 木,金1 金3,火1 火3,金2 金4
シャーメゾンメイ,6,火 金,月2 月4,木1 木3,月1 月3
シャトーオルヴァル,11,月 木,水2 水4,金2 金4,水1 水3
シャトｰム青森,6,火 金,月2 月4,木1 木3,月1 月3
シャトーム磯野,7,月 木,火2 火4,金1 金3,火1 火3
シャトーム東青森,10,月 木,金2 金4,火2 火4,金1 金3
自由ケ丘,2,月 木,火1 火3,水1 水3,火2 火4
十三森,1,火 金,月1 月3,木2 木4,月2 月4
しらかば,9,火 金,木2 木4,水2 水4,木1 木3
白旗野,8,月 木,水2 水4,金2 金4,水1 水3
新赤坂,2,月 木,火1 火3,水1 水3,火2 火4
新奥野第二,1,火 金,月1 月3,木2 木4,月2 月4
新城青葉台,8,月 木,水2 水4,金2 金4,水1 水3
新城大坂,9,火 金,木2 木4,水2 水4,木1 木3
新城上町,8,月 木,水2 水4,金2 金4,水1 水3
新城下町,8,月 木,水2 水4,金2 金4,水1 水3
新城中町,8,月 木,水2 水4,金2 金4,水1 水3
新城緑ヶ丘,9,火 金,木2 木4,水2 水4,木1 木3
新生町,1,火 金,月1 月3,木2 木4,月2 月4
新富田,10,月 木,金2 金4,火2 火4,金1 金3
新長島,11,月 木,水2 水4,金2 金4,水1 水3
新町野,4,火 金,木1 木3,月2 月4,木2 木4
新油町,1,火 金,月1 月3,木2 木4,月2 月4
信用町,5,月 木,金1 金3,火1 火3,金2 金4
スキー場通り,4,火 金,木1 木3,月2 月4,木2 木4
スノーシャイン青森,1,火 金,月1 月3,木2 木4,月2 月4
住良,4,火 金,木1 木3,月2 月4,木2 木4
すみれ,6,火 金,月2 月4,木1 木3,月1 月3
諏訪沢,3,火 金,水1 水3,月1 月3,水2 水4
青雲寮,7,月 木,火2 火4,金1 金3,火1 火3
青南,5,月 木,金1 金3,火1 火3,金2 金4
積和不動産東北,5,月 木,金1 金3,火1 火3,金2 金4
瀬戸子,3,火 金,水1 水3,月1 月3,水2 水4
千刈,7,月 木,火2 火4,金1 金3,火1 火3
千富,5,月 木,金1 金3,火1 火3,金2 金4
セントラルビューあおもり,11,月 木,水2 水4,金2 金4,水1 水3
相馬町,7,月 木,火2 火4,金1 金3,火1 火3
第一古川,11,月 木,水2 水4,金2 金4,水1 水3
大工町,11,月 木,水2 水4,金2 金4,水1 水3
第２サンハイツ青森,4,火 金,木1 木3,月2 月4,木2 木4
第二戸山,2,月 木,火1 火3,水1 水3,火2 火4
大福町,7,月 木,火2 火4,金1 金3,火1 火3
ダイヤモンド,4,火 金,木1 木3,月2 月4,木2 木4
ダイヤモンドペンション,1,火 金,月1 月3,木2 木4,月2 月4
太陽台,4,火 金,木1 木3,月2 月4,木2 木4
平新田,5,月 木,金1 金3,火1 火3,金2 金4
高田,4,火 金,木1 木3,月2 月4,木2 木4
滝内,6,火 金,月2 月4,木1 木3,月1 月3
滝沢,3,火 金,水1 水3,月1 月3,水2 水4
莨町,1,火 金,月1 月3,木2 木4,月2 月4
玉川,4,火 金,木1 木3,月2 月4,木2 木4
田茂木野,9,火 金,木2 木4,水2 水4,木1 木3
丹弥ハイツ,2,月 木,火1 火3,水1 水3,火2 火4
茶屋町,7,月 木,火2 火4,金1 金3,火1 火3
茶屋町第二,7,月 木,火2 火4,金1 金3,火1 火3
茶屋町東部,7,月 木,火2 火4,金1 金3,火1 火3
茶屋町南,7,月 木,火2 火4,金1 金3,火1 火3
中央旭町,11,月 木,水2 水4,金2 金4,水1 水3
中央富田,10,月 木,金2 金4,火2 火4,金1 金3
築木館,3,火 金,水1 水3,月1 月3,水2 水4
月見野,2,月 木,火1 火3,水1 水3,火2 火4
佃気象台,10,月 木,金2 金4,火2 火4,金1 金3
佃北,10,月 木,金2 金4,火2 火4,金1 金3
佃第一,10,月 木,金2 金4,火2 火4,金1 金3
佃第三,10,月 木,金2 金4,火2 火4,金1 金3
佃第二,10,月 木,金2 金4,火2 火4,金1 金3
佃東,10,月 木,金2 金4,火2 火4,金1 金3
佃本町第一,10,月 木,金2 金4,火2 火4,金1 金3
佃本町第三,10,月 木,金2 金4,火2 火4,金1 金3
佃本町第二,10,月 木,金2 金4,火2 火4,金1 金3
造道,7,月 木,火2 火4,金1 金3,火1 火3
筒井,6,火 金,月2 月4,木1 木3,月1 月3
筒井学校通り,6,火 金,月2 月4,木1 木3,月1 月3
筒井南,6,火 金,月2 月4,木1 木3,月1 月3
堤橋,1,火 金,月1 月3,木2 木4,月2 月4
堤町,1,火 金,月1 月3,木2 木4,月2 月4
露草,5,月 木,金1 金3,火1 火3,金2 金4
鶴ケ坂,8,月 木,水2 水4,金2 金4,水1 水3
ディアス・パルモ,2,月 木,火1 火3,水1 水3,火2 火4
出町,6,火 金,月2 月4,木1 木3,月1 月3
出町第二,6,火 金,月2 月4,木1 木3,月1 月3
寺町,11,月 木,水2 水4,金2 金4,水1 水3
伝馬町,1,火 金,月1 月3,木2 木4,月2 月4
東北財務局小浜住宅,10,月 木,金2 金4,火2 火4,金1 金3
東北財務局造道住宅,5,月 木,金1 金3,火1 火3,金2 金4
戸門,8,月 木,水2 水4,金2 金4,水1 水3
常盤町,5,月 木,金1 金3,火1 火3,金2 金4
戸崎,3,火 金,水1 水3,月1 月3,水2 水4
富田,10,月 木,金2 金4,火2 火4,金1 金3
富田ふれあい,10,月 木,金2 金4,火2 火4,金1 金3
戸山,2,月 木,火1 火3,水1 水3,火2 火4
戸山が丘,2,月 木,火1 火3,水1 水3,火2 火4
中奥野,1,火 金,月1 月3,木2 木4,月2 月4
長島,11,月 木,水2 水4,金2 金4,水1 水3
長島南町,11,月 木,水2 水4,金2 金4,水1 水3
中新町,11,月 木,水2 水4,金2 金4,水1 水3
梨の木,10,月 木,金2 金4,火2 火4,金1 金3
夏井田,3,火 金,水1 水3,月1 月3,水2 水4
鍋坂,9,火 金,木2 木4,水2 水4,木1 木3
浪打,7,月 木,火2 火4,金1 金3,火1 火3
浪打一丁目,7,月 木,火2 火4,金1 金3,火1 火3
浪館浅井,5,月 木,金1 金3,火1 火3,金2 金4
浪館第一,4,火 金,木1 木3,月2 月4,木2 木4
浪館第五,5,月 木,金1 金3,火1 火3,金2 金4
浪館第三,4,火 金,木1 木3,月2 月4,木2 木4
浪館第二,5,月 木,金1 金3,火1 火3,金2 金4
浪館第四,4,火 金,木1 木3,月2 月4,木2 木4
新井田,1,火 金,月1 月3,木2 木4,月2 月4
西浦町,11,月 木,水2 水4,金2 金4,水1 水3
西奥野,1,火 金,月1 月3,木2 木4,月2 月4
虹ケ丘,2,月 木,火1 火3,水1 水3,火2 火4
西金沢,5,月 木,金1 金3,火1 火3,金2 金4
西上古川,7,月 木,火2 火4,金1 金3,火1 火3
西上古川第二,7,月 木,火2 火4,金1 金3,火1 火3
西千刈,7,月 木,火2 火4,金1 金3,火1 火3
西滝,6,火 金,月2 月4,木1 木3,月1 月3
西田沢,1,火 金,月1 月3,木2 木4,月2 月4
西近野,4,火 金,木1 木3,月2 月4,木2 木4
西富,10,月 木,金2 金4,火2 火4,金1 金3
西富永,6,火 金,月2 月4,木1 木3,月1 月3
西平岡,9,火 金,木2 木4,水2 水4,木1 木3
西本町,7,月 木,火2 火4,金1 金3,火1 火3
西門町,7,月 木,火2 火4,金1 金3,火1 火3
新田,10,月 木,金2 金4,火2 火4,金1 金3
入内,12,金,木3,水3,木2
ネオハイツ奥野,9,火 金,木2 木4,水2 水4,木1 木3
野木,4,火 金,木1 木3,月2 月4,木2 木4
野木和,1,火 金,月1 月3,木2 木4,月2 月4
のぎわ団地,1,火 金,月1 月3,木2 木4,月2 月4
野沢,4,火 金,木1 木3,月2 月4,木2 木4
野尻,9,火 金,木2 木4,水2 水4,木1 木3
野内,3,火 金,水1 水3,月1 月3,水2 水4
野脇第一,1,火 金,月1 月3,木2 木4,月2 月4
パークハイツ安方,11,月 木,水2 水4,金2 金4,水1 水3
博労町,1,火 金,月1 月3,木2 木4,月2 月4
橋本,1,火 金,月1 月3,木2 木4,月2 月4
橋本第一,11,月 木,水2 水4,金2 金4,水1 水3
橋本南,1,火 金,月1 月3,木2 木4,月2 月4
橋本南第二,1,火 金,月1 月3,木2 木4,月2 月4
羽白,1,火 金,月1 月3,木2 木4,月2 月4
八甲田大橋,9,火 金,木2 木4,水2 水4,木1 木3
八甲町,11,月 木,水2 水4,金2 金4,水1 水3
花園,7,月 木,火2 火4,金1 金3,火1 火3
花園第一,7,月 木,火2 火4,金1 金3,火1 火3
花園第二,7,月 木,火2 火4,金1 金3,火1 火3
花園町,7,月 木,火2 火4,金1 金3,火1 火3
浜田,9,火 金,木2 木4,水2 水4,木1 木3
浜田青葉台,4,火 金,木1 木3,月2 月4,木2 木4
浜田中央,9,火 金,木2 木4,水2 水4,木1 木3
浜館,10,月 木,金2 金4,火2 火4,金1 金3
浜館団地,10,月 木,金2 金4,火2 火4,金1 金3
浜田ニュータウン,4,火 金,木1 木3,月2 月4,木2 木4
はまなす,5,月 木,金1 金3,火1 火3,金2 金4
浜町,11,月 木,水2 水4,金2 金4,水1 水3
原別,5,月 木,金1 金3,火1 火3,金2 金4
東青森駅前,10,月 木,金2 金4,火2 火4,金1 金3
東旭町,11,月 木,水2 水4,金2 金4,水1 水3
東奥野,1,火 金,月1 月3,木2 木4,月2 月4
東奥野第二,1,火 金,月1 月3,木2 木4,月2 月4
東片岡,2,月 木,火1 火3,水1 水3,火2 火4
東上古川,7,月 木,火2 火4,金1 金3,火1 火3
東桜川,6,火 金,月2 月4,木1 木3,月1 月3
東昭和町,7,月 木,火2 火4,金1 金3,火1 火3
東千刈,7,月 木,火2 火4,金1 金3,火1 火3
東常盤町,5,月 木,金1 金3,火1 火3,金2 金4
東蛍ヶ丘,2,月 木,火1 火3,水1 水3,火2 火4
左堰,3,火 金,水1 水3,月1 月3,水2 水4
日の出,1,火 金,月1 月3,木2 木4,月2 月4
ひばりの,1,火 金,月1 月3,木2 木4,月2 月4
ビュー花園,7,月 木,火2 火4,金1 金3,火1 火3
平岡,9,火 金,木2 木4,水2 水4,木1 木3
広田町,11,月 木,水2 水4,金2 金4,水1 水3
ブイステージ本町,11,月 木,水2 水4,金2 金4,水1 水3
フォンティーヌ豊田,4,火 金,木1 木3,月2 月4,木2 木4
福田,10,月 木,金2 金4,火2 火4,金1 金3
藤戸,4,火 金,木1 木3,月2 月4,木2 木4
富士見,10,月 木,金2 金4,火2 火4,金1 金3
古川三丁目第一,11,月 木,水2 水4,金2 金4,水1 水3
古川仲町,11,月 木,水2 水4,金2 金4,水1 水3
古館,10,月 木,金2 金4,火2 火4,金1 金3
フロンティアスクエア,6,火 金,月2 月4,木1 木3,月1 月3
ベイサイド柳川自治会,7,月 木,火2 火4,金1 金3,火1 火3
ベイタウン沖館,10,月 木,金2 金4,火2 火4,金1 金3
平和（羽白方面）,1,火 金,月1 月3,木2 木4,月2 月4
平和（花園方面）,10,月 木,金2 金4,火2 火4,金1 金3
平和台,8,月 木,水2 水4,金2 金4,水1 水3
宝来町,5,月 木,金1 金3,火1 火3,金2 金4
細越,4,火 金,木1 木3,月2 月4,木2 木4
蛍ヶ丘,2,月 木,火1 火3,水1 水3,火2 火4
蛍沢,2,月 木,火1 火3,水1 水3,火2 火4
ポレスター篠田管理組合,7,月 木,火2 火4,金1 金3,火1 火3
袰懸,2,月 木,火1 火3,水1 水3,火2 火4
袰懸団地,2,月 木,火1 火3,水1 水3,火2 火4
本町VILA自治会,11,月 木,水2 水4,金2 金4,水1 水3
本町中央,11,月 木,水2 水4,金2 金4,水1 水3
本古川,11,月 木,水2 水4,金2 金4,水1 水3
前田,3,火 金,水1 水3,月1 月3,水2 水4
孫内,8,月 木,水2 水4,金2 金4,水1 水3
松丘保養園,9,火 金,木2 木4,水2 水4,木1 木3
マック青森コート,10,月 木,金2 金4,火2 火4,金1 金3
松原,1,火 金,月1 月3,木2 木4,月2 月4
